audit_timestamp,transaction_id,customer_id,amount,failure_reason,recovery_score,risk_level,recommended_action,recovery_status,recovery_probability,recovered_amount,attempts_before,attempts_after,action_executed,stopping_rule,decision_reason
2026-08-24T20:12:09,TX10018,CUST305,4202.42,NETWORK_ERROR,67.2,MEDIUM,RETRY,RECOVERED,0.7,4202.42,2,3,True,Recovery succeeded; further attempts stopped.,"MEDIUM recovery potential driven by moderate historical payment success rate (68%). two previous recovery attempts have been made. The network error is considered recoverable through another controlled payment attempt. the customer is a returning customer. the transaction value is ₹4,202.42, which receives a higher recovery priority. Revora recommends a controlled retry."
2026-08-29T12:14:44,TX10001,CUST752,20868.6,UNKNOWN,58.4,MEDIUM,ESCALATE,STOPPED,0.65,0,3,3,False,Maximum recovery attempts (3) reached.,"MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is a returning customer. the transaction value is ₹20,868.60, which receives a lower recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:14:49,TX10002,CUST933,8874.55,NONE,51.4,MEDIUM,STOP,STOPPED,0.0,0,3,3,False,Payment already succeeded.,Payment already succeeded. Revora stops the recovery workflow because no further action is required.
2026-08-29T12:14:55,TX10003,CUST705,26089.83,NONE,32.2,LOW,STOP,STOPPED,0.0,0,3,3,False,Payment already succeeded.,Payment already succeeded. Revora stops the recovery workflow because no further action is required.
2026-08-29T12:14:59,TX10004,CUST133,8685.36,NONE,72.8,HIGH,STOP,STOPPED,0.0,0,1,1,False,Payment already succeeded.,Payment already succeeded. Revora stops the recovery workflow because no further action is required.
2026-08-29T12:15:39,TX10018,CUST305,4202.42,NETWORK_ERROR,67.2,MEDIUM,RETRY,STOPPED,0.7,0,2,3,True,Maximum recovery attempts (3) reached after failed retry.,"MEDIUM recovery potential driven by moderate historical payment success rate (68%). two previous recovery attempts have been made. The network error is considered recoverable through another controlled payment attempt. the customer is a returning customer. the transaction value is ₹4,202.42, which receives a higher recovery priority. Revora recommends a controlled retry."
2026-08-29T12:15:50,TX10027,CUST761,6924.38,LIMIT_EXCEEDED,39.6,LOW,ESCALATE,STOPPED,0.35,0,3,3,False,Maximum recovery attempts (3) reached.,"LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The limit exceeded failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹6,924.38, which receives a moderate recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:16:01,TX10021,CUST355,4493.39,INSUFFICIENT_FUNDS,74.2,HIGH,RETRY,RECOVERED,0.9,4493.39,2,3,True,Recovery succeeded; further attempts stopped.,"HIGH recovery potential driven by strong historical payment success rate (98%). two previous recovery attempts have been made. The insufficient-funds failure may be recoverable through another payment attempt. the customer is classified as a new customer. the transaction value is ₹4,493.39, which receives a higher recovery priority. Revora recommends a controlled retry."
2026-08-29T12:16:11,TX10024,CUST275,38753.94,UNKNOWN,37.8,LOW,ESCALATE,STOPPED,0.3,0,3,3,False,Maximum recovery attempts (3) reached.,"LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹38,753.94, which receives a lower recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:16:48,TX10046,CUST960,555.21,UNKNOWN,58.6,MEDIUM,ESCALATE,STOPPED,0.65,0,3,3,False,Maximum recovery attempts (3) reached.,"MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹555.21, which receives a higher recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:16:52,TX10036,CUST531,5973.94,UNKNOWN,36.8,LOW,ESCALATE,STOPPED,0.3,0,3,3,False,Maximum recovery attempts (3) reached.,"LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹5,973.94, which receives a moderate recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:16:57,TX10098,CUST152,4738.29,UNKNOWN,57.6,MEDIUM,ESCALATE,STOPPED,0.65,0,3,3,False,Maximum recovery attempts (3) reached.,"MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is a returning customer. the transaction value is ₹4,738.29, which receives a higher recovery priority. Revora recommends escalation for manual review."
2026-08-29T12:17:05,TX10028,CUST904,49748.67,NETWORK_ERROR,57.6,MEDIUM,RETRY,RECOVERED,0.7,49748.67,1,2,True,Recovery succeeded; further attempts stopped.,"MEDIUM recovery potential driven by low historical payment success rate (44%). one previous recovery attempt has been made. The network error is considered recoverable through another controlled payment attempt. the customer is a returning customer. the transaction value is ₹49,748.67, which receives a lower recovery priority. Revora recommends a controlled retry."
